<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,19940509,31.9485,33.7917,31.6413,31.9485,128500
ACC,19940509,36.8,36.8,36.6,36.6,12000
ADVANC,19940509,30.8014,30.8014,30.53,30.53,683910
AFC,19940509,24.75,25,24.5,25,13700
AHC,19940509,46.5,47.25,46.5,47.25,1600
AJ,19940509,2.4,2.4,2.325,2.325,30000
ALUCON,19940509,95,96,95,96,1500
AMARIN,19940509,11.2851,11.2851,11.0638,11.0638,23500
AP,19940509,6.4388,6.5394,6.4388,6.4891,17891
APURE,19940509,26.2222,26.4444,25.7778,26,12712
ASIA,19940509,46,46,46,46,60
ASP,19940509,8.4,8.5,8.35,8.4,2532000
AYUD,19940509,278,278,278,278,1100
BANPU,19940509,120.65,120.65,118.69,118.69,87300
BAY,19940509,57.3982,57.3982,57.0104,57.0104,211061
BBL,19940509,162,163,158,160,448900
BDMS,19940509,5.7112,5.7636,5.7112,5.7636,13352
BFIT,19940509,135,136,133,134,22400
BH,19940509,17.3691,17.3691,17.3691,17.3691,9948
BIG,19940509,48,48,46.25,46.25,6500
BIGC,19940509,19.3334,19.3334,19.3334,19.3334,3103
BJC,19940509,9.5,9.6,9.45,9.55,12100
BKI,19940509,307.55,323.55,305.772,323.55,1237
BLAND,19940509,8.1,8.1,7.95,8,1985000
BTS,19940509,59.3342,59.8051,58.3924,58.8633,170734
CEN,19940509,6.3864,6.5784,6.3864,6.5784,37480
CENTEL,19940509,1.7524,1.7889,1.7524,1.7524,301300
CFRESH,19940509,5.3337,5.567,5.3003,5.567,443973
CM,19940509,3.7932,3.7932,3.7932,3.7932,7314
CNS,19940509,79.6396,79.6396,77.2973,79.0541,22539
CNT,19940509,68.4789,68.4789,64.199,65.3662,152407
CPF,19940509,7.9401,8.1,7.9401,7.9934,337777
CPH,19940509,72,74.5,72,72.5,1194600
CSC,19940509,59.3458,59.3458,58.4556,59.0491,20220
CWT,19940509,17.375,17.375,17.25,17.25,63600
DCC,19940509,4.7,4.7,4.6,4.625,582000
DTC,19940509,79.0093,79.0093,79.0093,79.0093,1050
DTCI,19940509,78,82,78,82,57700
EE,19940509,4.95,4.95,4.625,4.625,30000
EPCO,19940509,47.625,47.625,46.875,46.875,15200
ERW,19940509,6.7232,6.773,6.6236,6.773,70780
ESTAR,19940509,4.75,4.8125,4.75,4.75,321600
EVER,19940509,33.165,33.165,32.3461,32.5508,19653
FE,19940509,350,350,350,350,100
GEL,19940509,10.3393,10.9711,10.3393,10.9137,14362
GFPT,19940509,1.1819,1.2778,1.166,1.2778,10130080
GOLD,19940509,35.25,35.5,34.5,34.5,85700
HANA,19940509,12.3915,12.3915,12.3915,12.3915,24129
HTC,19940509,4.1849,4.1849,4.1849,4.1849,15221
IEC,19940509,2.06,2.06,2,2.06,23960000
IFEC,19940509,5.2688,5.3059,5.1946,5.2688,140140
INSURE,19940509,92.5,92.5,92.5,92.5,800
INTUCH,19940509,29.9137,29.9137,29.5813,29.6921,1037987
JCT,19940509,62.4928,62.4928,62.4928,62.4928,123
JUTHA,19940509,53.6779,55.3956,52.819,55.3956,74981
KBANK,19940509,70.0968,70.0968,69.4355,70.0968,683799
KCE,19940509,9.283,9.5754,9.1368,9.1368,1998776
KDH,19940509,44.25,44.25,44.25,44.25,200
KGI,19940509,33.5871,33.5871,32.9242,32.9242,872522
KKC,19940509,4.4809,4.4809,4.4809,4.4809,18411
KTB,19940509,46.3021,46.542,45.8223,46.3021,840115
